,date,speaker,title,party,media,score,field,subject,link,knesset,gender,main-quote
284,19/11/2017,מוטי יוגב,על הדמוגרפיה ביהודה ושומרון,הבית היהודי,פייסבוק,untrue,חוץ ובטחון,סכסוך ישראלי-פלסטיני,https://www.thewhistle.co.il/feed/O4Wk2bV0jb,הכנסת ה-20,male,"""במדינת ישראל וביהודה ושומרון יחד, כ-4.2 [מיליון] ערבים שהריבוי הטבעי שלהם קטן מ- 2.9 למשפחה"""
285,19/03/2018,מוטי יוגב,על גירוש מחבלים ללבנון ב-92׳,הבית היהודי,גל״צ,untrue,חוץ ובטחון,סכסוך ישראלי-פלסטיני,https://www.thewhistle.co.il/feed/47yD8XPyGP,הכנסת ה-20,male,"""בשנת 92' החליט בית המשפט העליון בנשיאותו של אהרן ברק להשיב מלבנון למעלה מ-400 מחבלים, רוצחים ואחרים, אותם גירשנו לשם, בהחלטה של ממשלת ישראל"""
286,26/03/2018,מוטי יוגב,על הריבוי הטבעי באוכלוסייה היהודית והערבתי,הבית היהודי,טוויטר,untrue,חוץ ובטחון,סכסוך ישראלי-פלסטיני,https://www.thewhistle.co.il/feed/Z909OXNyqO,הכנסת ה-20,male,"""אחוז האימהות שחיות היום בלי נישואין בכלל - האמהות החד הוריות - גדל ב-80% ב-6 השנים האחרונות"""
287,05/08/2018,מוסי רז,על קליטת סייענים בישראל,מרצ,ערוץ 20,untrue,דת ומדינה,שוויון זכויות,https://www.thewhistle.co.il/feed/7nya12ey9A,הכנסת ה-20,male,"״ממשלת ישראל הזו, של הימין, קיבלה תוך עשור כ-120 אלף משת״פים ובני משפחותיהם״"
288,07/01/2018,מייקל אורן,"על מכירת שיכר בסוף שבוע בארה""ב",כולנו,כאן ב׳,half true,דת ומדינה,השבת,https://www.thewhistle.co.il/feed/Z909O3eyqO,הכנסת ה-20,male,"""בניו יורק סיטי, בוושינגטון די-סי - בירת ארצות הברית, אסור למכור אלכוהול ביום ראשון"""
289,18/03/2018,מייקל אורן,על שיטת מינוי השופטים בישראל,כולנו,רדיו דרום - אשדוד,mostly untrue,חוק ומשפט,"בג""ץ",https://www.thewhistle.co.il/feed/jKx28prWZq,הכנסת ה-20,male,"""אנחנו נמצאים ברשימה מאוד קצרה עם עוד שתי מדינות: הודו ותאילנד, יש להן את אותה שיטה של בחירת שופטים [שבה] שופטים מכהנים בוחרים את השופטים שמחליפים אותם"""
290,24/05/2018,מייקל אורן,על ייבוא מטורקיה,כולנו,כאן ב׳,untrue,חוץ ובטחון,יחסים בינ״ל,https://www.thewhistle.co.il/feed/QXx46NXW78,הכנסת ה-20,male,"""רוב החומוס שאתה אוכל והטחינה זה גם מטורקיה"""
291,13/06/2018,מייקל אורן,על עמדת טראמפ ביחס לירושלים,כולנו,רדיו דרום אשדוד,mostly untrue,חוץ ובטחון,יחסים בינ״ל,https://www.thewhistle.co.il/feed/RVxBjNBxZk,הכנסת ה-20,male,"""טראמפ הכיר בירושלים המאוחדת כבירתנו [...] השגרירות ממוקמת למעשה במזרח העיר. השכונה הזאת, תלפיות, זה במזרח העיר"""
292,26/09/2018,מייקל אורן,"על נאום טראמפ בעצרת הכללית של האו""ם",כולנו,קשת,half true,חוץ ובטחון,ארצות הברית,https://www.thewhistle.co.il/feed/QOxe2gD0GE,הכנסת ה-20,male,"""הוא חוזר למה שהיה בארה""ב לפני 100 פלוס שנה, כשארה""ב התנגדה להקמתו של חבר הלאומים, בראשית המאה העשרים. [הם] לא הצטרפו, בגלל שהאמריקאים שונאים את הגלובליזם"""
293,03/12/2017,מיכאל מלכיאלי,על השכלה גבוהה לחרדים,"ש""ס",גל״צ,untrue,"חינוך, תרבות וספורט",חינוך,https://www.thewhistle.co.il/feed/e30EJeBWXQ,הכנסת ה-20,male,"""עד היום המל""ג נתן למכללות החרדיות את האפשרות לתת תואר שני [...] בסך הכל אנחנו מבקשים שהמכללות שעד היום לימדו בנפרד ימשיכו ללמד בנפרד. תלכו למכללות החרדיות ותראו שיש ירידה בעשרות אחוזים ברישום לתואר שני בשנה הבאה"" "
294,06/08/2018,מיכאל מלכיאלי,על חוקי עזר לפתיחת עסקים בשבת,"ש""ס",גל״צ,mostly untrue,דת ומדינה,השבת,https://www.thewhistle.co.il/feed/O10Y9Bj0wq,הכנסת ה-20,male,"""שר הפנים אין בסמכותו לאכוף את החוק, זה רק הרשות המקומית. ירצה ביבס [ראש עיריית מודיעין] יאכוף, לא ירצה לא יאכוף"""
295,29/10/2017,מיכל רוזין,על מצע הליכוד,מרצ,גל״צ,untrue,"כנסת, ממשלה ומנהל ציבורי",בחירות לכנסת,https://www.thewhistle.co.il/feed/qX0nzgZ0N9,הכנסת ה-20,female,"""כבר 30 שנה אין מצע לליכוד"""
296,01/01/2018,מיכל רוזין,על הבנייה ביהודה ושומרון,מרצ,ערוץ הכנסת,TRUE,חוץ ובטחון,סכסוך ישראלי-פלסטיני,https://www.thewhistle.co.il/feed/47yD8LjyGP,הכנסת ה-20,female,"""מ-1995 עד היום נבנו פחות מ-50 אלף יחידות דיור בגדה המערבית [...] זה לא שאני לא מוטרדת מהבנייה, ולא שאני לא מוטרדת מ-400 אלף ישראלים שגרים מעבר לקו הירוק"""
297,05/01/2018,מיכל רוזין,על עונש מוות ויאיר לפיד,מרצ,כאן 11,untrue,חוץ ובטחון,סכסוך ישראלי-פלסטיני,https://www.thewhistle.co.il/feed/QrxOMLEW9B,הכנסת ה-20,female,"""רק לפני חצי שנה העלה יאיר לפיד עם ח""כ ביטן הצעה אותו הדבר"""
